frame,time_sec,dribble_type,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,left_ankle_angle,right_ankle_angle,left_knee_velocity,right_knee_velocity,left_hip_velocity,right_hip_velocity,left_elbow_velocity,right_elbow_velocity,left_ankle_velocity,right_ankle_velocity,left_knee_load,right_knee_load,left_hip_load,right_hip_load,left_elbow_load,right_elbow_load,left_ankle_load,right_ankle_load,knee_asymmetry,hip_asymmetry,ankle_asymmetry,elbow_asymmetry,max_load,max_load_joint
16,0.5333333333333333,Front Dribble,27.540776456625654,15.452936871694108,25.11469505947754,6.79195348501679,141.05641601052392,111.52737225334049,155.08309932663676,168.87824207983653,1005.5588035453243,1144.5327303676315,1166.1320817641179,2364.97638681557,2574.074256473858,2875.5599717244563,994.9443708009447,323.6950082145768,77.92410791478245,80.53132916684899,70.4115287514222,78.1979113601137,47.07866584999497,47.07866584999497,58.84186656855971,47.66416004892068,12.087839584931546,18.32274157446075,13.79514275319977,29.52904375718343,80.53132916684899,right_knee_load
17,0.5666666666666667,Front Dribble,43.14446284863958,91.8184398414986,9.021748515946639,71.89802333496797,84.75658005256655,87.85927503268123,152.79113146816772,118.66733637659475,468.1105917604177,2290.965089094135,482.788396305927,1953.1820954985355,1688.995078738721,710.0429166197779,68.75903575407108,1506.3271710972533,59.27244366514613,47.07866584999497,68.19729172162118,47.07866584999497,47.07866584999497,38.20742626907499,19.199378161487534,47.07866584999497,48.673976992859025,62.87627481902133,34.12379509157297,3.102694980114677,68.19729172162118,left_hip_load
18,0.6,Front Dribble,160.83024731546539,176.98875260986483,124.5059885470575,142.07094799680678,179.68942822195115,107.16142435196855,143.380008965704,172.56633231592878,3530.573534004774,2555.1093830509867,3464.5272009333257,2105.187739855164,2847.985445081538,579.0644795786197,282.33367507391137,1616.969878180021,47.07866584999497,47.07866584999497,47.07866584999497,47.07866584999497,47.07866584999497,31.238633362090738,17.202601486607737,69.24556091384314,16.158505294399447,17.56495944974928,29.186323350224768,72.5280038699826,69.24556091384314,right_ankle_load
19,0.6333333333333333,Front Dribble,115.78231388622018,146.46217659751758,88.98182342709589,118.24523313879888,147.3458964650511,114.66809523228002,179.77068784867748,164.58379956742476,1351.4380028773562,915.7972803704174,1065.7249535988483,714.7714457402369,970.3059527070011,225.20012640934425,1091.7203664892043,239.4759824551204,47.07866584999497,47.07866584999497,47.07866584999497,38.445348853567296,47.07866584999497,8.224757011918872,72.7252394617925,39.78234297108544,30.679862711297403,29.26340971170299,15.18688828125272,32.67780123277109,72.7252394617925,left_ankle_load
20,0.6666666666666666,Front Dribble,143.46247104517371,160.7882117035102,127.22342185066142,125.16619640881898,131.97538352179424,109.65948330231005,171.8998989281153,167.6919199378557,830.404714768606,429.7810531797785,1147.247952706966,207.62889810060287,461.1153882977061,150.2583578990992,236.1236676168653,93.24361111292774,43.98688163272444,22.332642398377946,47.07866584999497,6.899637496049083,24.292977916231674,2.4384091090758897,46.54898564743791,36.96827399443801,17.325740658336485,2.057225441842448,4.207978990259619,22.315900219484192,47.07866584999497,left_hip_load
21,0.7,Front Dribble,145.6519102872101,170.192070926305,123.52067524007437,121.79287058027147,160.47087939137487,152.9586374493907,167.9444928626839,175.70732355903613,65.68317726109115,282.1157766838442,111.08239831761168,101.19977485642522,854.8648760874187,1298.9746244124192,118.66218196294255,240.4621086354132,0.0,12.388882909306409,0.0,0.0,45.09359121612844,47.07866584999497,37.23305142991915,50.01269780571602,24.54016063909492,1.7278046598028993,7.762830696352239,7.512241941984172,50.01269780571602,right_ankle_load
22,0.7333333333333333,Unknown,127.0514242077625,156.48003637508768,122.04117859372067,109.82145728051172,18.061496537649724,111.93169349247952,178.32214397229995,174.76581665074826,558.0145823834278,411.36103653651986,44.384899390610855,359.1423989927924,4272.281485611754,1230.808318707335,311.329533288482,28.245207248635893,30.047556569932475,21.15664415616405,0.0,17.72513412164227,73.69309395651155,47.07866584999497,54.83278776330128,43.97825558602308,29.428612167325184,12.21972131320895,3.5563273215516915,93.8701969548298,73.69309395651155,left_elbow_load
23,0.7666666666666667,Crossover-like,145.09535074889794,144.5184328921454,123.54731319032608,100.64989953615866,93.79398184648319,59.269867412023196,174.12751288548685,174.4264631447106,541.3177962340635,358.8481044882684,45.18403789816219,275.146732330592,2271.9745592650042,1579.85478241369,125.83893260439311,10.180605181130034,29.088138525513642,17.705377520790123,0.0,11.88933353688003,47.07866584999497,47.718756536667954,43.64817613801463,43.660504928384626,0.5769178567525444,22.897413654167423,0.2989502592237443,34.524114434459996,47.718756536667954,right_elbow_load
24,0.8,Crossover-like,142.26152933926878,137.352125653054,106.87670259967548,93.83530115394663,137.89594868310556,87.5817864946641,168.8852557195736,171.1502543502022,85.014642288875,214.98921717274186,500.1183177195179,204.43795146636077,1323.059005098671,849.3575724792272,157.26771497739776,98.28626383525176,0.0,7.457022738401575,26.664093452202643,6.656950170793063,47.07866584999497,44.8463340723108,40.05998203173503,40.49863341211811,4.909403686214773,13.041401445728852,2.264998630628611,50.31416218844146,47.07866584999497,left_elbow_load
25,0.8333333333333334,Crossover-like,150.1317747065188,141.48942273084396,106.19219629071922,99.66092803783768,131.38977526942318,104.70890858547322,164.9673398376042,171.82197507995767,236.10736101750064,124.11891233369857,20.53518926868776,174.76880651673142,195.18520241047128,513.8136627242737,117.5374764590822,20.15162189266391,9.037812264405275,0.3354778102565459,0.0,4.369958673793617,5.949649990904327,27.478941049815376,34.04004236807605,41.161056820325335,8.642351975674842,6.531268252881546,6.854635242353481,26.680866683949958,41.161056820325335,right_ankle_load
